word,synset_1,synset_2,synset_3,synset_4,synset_5,synset_6,synset_7,synset_8,synset_9,synset_10,synset_11,synset_12,synset_13,synset_14,synset_15,synset_16,synset_17,synset_18,synset_19,synset_20,synset_21,synset_22,synset_23,synset_24,synset_25,synset_26,synset_27,synset_28,synset_29,synset_30,synset_31,synset_32,synset_33,synset_34,synset_35,synset_36,synset_37,synset_38,synset_39,synset_40,synset_41,synset_42,synset_43,synset_44,synset_45,synset_46,synset_47,synset_48,synset_49,synset_50,synset_51,synset_52,synset_53,synset_54,synset_55,synset_56,synset_57,synset_58,synset_59,synset_60,synset_61,synset_62,synset_63,synset_64,synset_65,synset_66,synset_67,synset_68,synset_69,synset_70,synset_71,synset_72,synset_73,synset_74,synset_75,synset_76,synset_77,synset_78,synset_79,synset_80,synset_81,synset_82,synset_83,synset_84,synset_85,synset_86,synset_87,synset_88,synset_89,synset_90,synset_91,synset_92,synset_93,synset_94,is_saved
llywio,arwain,llywodraethu,rheoli,gweinyddu,arglwyddiaethu,cyfarwyddo,trefnu,tywys,goruchwylio,meistroli,disgyblu,arglwyddiaethu (ar),teyrnasu,arddweud,gofalu,gyrru,rheoleiddio,awdurdod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
llywodraeth,gwladwriaeth,awdurdod,rheolaeth,gweinyddiaeth,awdurdodaeth,goruchwyliaeth,llywodraeth leol,awdurdodau,cyfraith,llywodraeth ganolog,grym,gwleidyddiaeth,llywodraeth gwlad,cyfundrefn,gweinyddol,rheoli,darpar lywodraeth,cyngor,dylanwad,undeb,goruchafiaeth,cenedl,plaid,pwer,arolygiaeth,trefn,arweiniad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
maint,swm,lled,hyd,mesur,taldra,uchder,seis,maintioli,swmp,cynnwys,trwch,meintiau,hyd a lled,mesuriad,dimensiwn,calibr,capasiti,mawr,pwysau,healaethrwydd,ehangder,corffolaeth,hir,helaethrwydd,helaethder,amrediad,nifer,cyfran,cyfaint,amlder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
man,lle,lleoliad,safle,ardal,pwynt,llecyn,mangre,rhywle,rhanbarth,maes,gofod,golygfa,man argraffu,lled,man cyhoeddi,rhan,man cyfarfod,cymdogaeth,gosodiad,bro,man cychwyn,smotyn,marc,ploryn,brycheuyn,sbotyn,ysmotyn,pothell,toriad,mefl,llecyn,craith,nam,dot,staen,brycheun,tosau,amherffeithrwydd,afliwiad,llinorod,cramen,difwyno,croen,pothelli,chwydd,blotyn,casgliad,swigen,anaf,tosyn,llinoryn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
marwolaeth,angau,tranc,ymadawiad,diwedd bywyd,marw,diwedd,angladd,terfyn oes,dihenydd,darfod,symud ymlaen,wedi mynd,ymadawedig,pasio,profedigaeth,dioddefaint,gorffen,trallod,henaint,dinistr,profiad o boen,nefoedd,du,cymmanaeth,colled,uffern,cred,cynhebrwng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
mawr,enfawr,anferth,swmpus,helaeth,eang,lluosog,tew,sylweddol,cawraidd,llydan,anferthol,niferus,bras,aruthrol,pwysig,trwchus,dychrynllyd,poblogaidd,maith,dirfawr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
meddwl,ymennydd,pen,barn,cred,sylw,meddylfryd,ystyriaeth,safbwynt,meddwl agored,ymwybyddiaeth,coel,doeth,doethineb,meddwl cyfartal,deallusrwydd,dychymyg,bwriad,deall,deallusol,meddwl gwan,bryd,teimlo,trefnu syniadau,gwybodaeth,daliad,rhagdybio,synnwyr,myfyrio,cofio,barnu,adnabyddiaeth,ystyried,barn,tybio,rhagdybio,myfyrio,credu,safbwynt,amcanu,barnu,synfyfyrio,dod i gasgliad,meddyliau,cred,dychmygu,penderfynu,synio,sylweddoli,dod i benderfyniad,breuddwydio,syniad,cael syniad,bryd,coel,disgwyl am,tebygu,awgrymu,golygu,tyb,amgyffred,daliad,bwriadu,deall,cyfleu,teimlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
meithrin,magu,maethu,mabwysiadu,gofalu,coleddu,annog,hyfforddi,gofalu am,llochesu,cymorthi,cefnogi,dwyn i fyny,anwylo,cysuro,dysgu,cynnal,tendio,goruwchwylio,trin,llochesi,rhoi ar ben ffordd,caru,maldodi,codi,mynwesu,noddi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
mesur,pwyso,mesuro,maint,cymryd mesur,helaethder,tafoli,mesur pellter,cofnodi,maintoli,cyfrifo,cymryd hyd a lled,amcangyfrif,mesur cyflymder,graddfa,rhifo,gwirio,cloriannu,graddnodi,assesu,cyfrif,mesur pwysau,dogn,darganfod,hyd,cyfran,mesur cyfaint,safon,mesur tymheredd,lled,mesur grym,maintioli,asesu,pwyso a mesur,mesur egni,meintioli,arfarnu,nodi mesuriad,mydr,gwerthuso,diamedr,metru,ehangder,mesuriad,maint,dimensiwn,swm,cyfrifiant,pwysau,meintioli,graddiad,amcangyfrif,graddiant,cofnodiad,meintoliad,asesiad,dwysedd,cyfrifiad,hyd,diamedr,ffurf,ehangder,pwyso,dadansoddiad,hyd a lled,amledd,helaethder,lled,enrhifiad,cymhwysedd,helaethrwydd,cyfaint,nifer,,,,,,,,,,,,,,,,,,,,,,,0
mis,cyfnod,misol,amser,adeg,blwyddyn,tymor,mai,pedair wythnos,calendr,tymhorol,dyddiad,mis lleuad,bob mis,oes,tro,misoedd,mislif,rhan o flwyddyn,unwaith y mis,mis lloerol,misglwyf,newid,dwywaith y mis,diwrnod,cyfnod o amser,ionawr,presennol,sbel,deufis,dyfodol,chwefror,mis mêl,gorffennol,mawrth,ebrill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
mynd,myned,gadael,symud,rhodio,ymadael,diflannu,mentro,darfod,crwydro,cerdded,hedfan,mynd i rywle,cer,mynd i bysgota,mynd i siopa,rhedeg,cychwyn,mynd i'r deintydd,mynd i'r parti,fflio,mynd i gyfarfod,marw,hwylio,mynd i gerdded,trafeilio,bywiogrwydd,mynd i redeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
neis,annwyl,caredig,dymunol,hyfryd,pleserus,braf,cwrtais,clên,atyniadol,del,teg,cyfeillgar,ffeind,cyffeillgar,deniadol,blasus,hoffus,clen,prydferth,hynaws,apeliadol,apelgar,ystyriol,swynol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
nerfus,ofnus,gofidus,swil,pryderus,petrusgar,crynedig,cynhyrfus,dihyder,anesmwyth,cynhyrflyd,aflonydd,ffwdanus,mewnblyg,llidiog,anniddig,anhyderus,preyderus,rhusiog,tyn,distaw,ansad,poeni,poenus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
newid,cyfnewid,amnewid,addasu,altro,gweddnewid,trosi,amrywio,cymhwyso,newid pwnc,adolygu,trawsnewid,newid testun,adnewid,newid stori,newid dilledyn,datblygu,newid esgidiau,symudiad,gwahaniaethu,gwahanol,ailfeddwl,cyfaddasu,amrywiol,troi,amrywiad,chwyldro,tro,troi'n wahanol,gwahaniaeth,addasiad,amrywiad,addasu,trawsnewid,cyfnewid,newidiad,chwyldro,gweddnewidiad,arallgyfeirio,gwahanol,cymhwysiad,datblygu,diwygiad,gweddnewid,cyfnewidiad,amrywio,trawsffurfiad,altrad,adolygiad,adnewid,cymhwyso,gwneud gwahaniaeth,amnewid,adolygu,trawsnewidiad,tro,tröedigaeth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
newydd,diweddar,anghyfarwydd,ffres,modern,newydd sbon,diethr,crai,dibrofiad,ifanc,wedi ei wneud,cyfoes,dieithr,heb ei ddefnyddio,glân,wedi ei ddarganfod,wahanol,anghynefin,ffasiynol,glan,datblygiedig,diwygiedig,ychwanegol,gwahanol,anghyffredin,ieuanc,arall,diwygiedif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
newyddion,gwybodaeth,cyhoeddiad,hanes,newydd,neges,stori,gwybodaeth ffres,datguddiad,ffeithiau,newyddiadurwr,straeon,gwybodaeth annisgwyl,hanes diweddar,newyddlen,stori newydd,cyfrif,hanesion,datganiad,adroddiad,bwletin,hanesion cyfoes,dyddiol,gwybodaeth ddiweddar,gohebydd,cyfoes,newyddion caled,newyddion lleol,papur newyddion,darlleniad,cymuned,newyddiaduraeth,teledu,radio,rhaglen,gair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
nifer,swm,llawer,cyfanswm,rhif,maint,rhai,sawl,cynifer,digonedd,swmp,llwyth,gwerth,lot,faint,nifer,aml,rhifo,cyfanrif,criw,lluosog,ystadegyn,grŵp,niferus,eithaf,ambell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
nodwedd,priodoledd,personoliaeth,priodwedd,agwedd,unigryw,hynodrwydd,rhinwedd,nodedig,nodwedd,unigol,cymeriad,hynod,arwedd,natur person,neilltuol,hunaniaeth,natur,gwahanredol,arfer,arbennig,gwedd,anian,osgo,personol,stamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
normal,cyffredin,arferol,rheolaidd,naturiol,cyson,derbyniol,safonol,traddodiadol,nodweddiadol,cyfferdin,defodol,fel arfer,cyffredinol,confensiynol,syml,boddhaol,canolig,trefn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
oed,oedran,aeddfedu,einioes,oes,henaint,cyfnod,hyd oes,hyd bywyd,heneiddio,cenhedlaeth,ieuenctid,adeg,rhif,henoed,canol oed,bywyd,aeddfedrwydd,ienectid,blwyddyn,amser,blynedd,ifanc,hen,cenedlaeth,iau,penblwydd,hŷn,oedrannus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
oedfa,gwasanaeth,cymanfa,cynulliad,cwrdd,cyfarfod,addoliad,cyngres,crefydd,cyfarfod crefyddol,gwasanaeth crefyddol,serfiad,cynulliad crefyddol,gweddi,cynhadledd crefyddol,pregeth,seremoni,crynwyr,darlith,casgliad crefyddol,heddwch,ysbaid,cymun,grwp o bobl,ffydd,boreol weddi,achlysur,harddwch,mass,sefydliad crefyddol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
olaf,diwethaf,terfynol,gorffen,y dasg olaf,colli,y wers olaf,lest,y gystadleuaeth olaf,diben,diweddar,eithaf,gorffen yn olaf,blaenorol,y dawns olaf,terfyn,agos,cynt,lleiaf,methu,pennaf,darfod,y rhaglen olaf,gorffenedig,llynedd,diweddglo,y daith olaf,gorffennol,cyflawn,diwedd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
parod,bodlon,cyfleus,cymwynasgar,cymwys,ewyllysgar,calonnog,didrafferth,hygyrch,parod at y nadolig,parod at y daith,wedi'i baratoi,ewyllsgar,diymdroi,rhwydd,parod at y wers,gwasanaethgar,hwylus,paratoi,parod at y ddarlith,priodol,parodrwydd,trefnu,disgwylgar,parod i weld ffrind,hylaw,amodol,hawdd,wedi paratoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
pell,anghysbell,ymhell,oeraidd,pellennig,hirbell,diarffordd,anghymdeithasol,hir,brith,maith,distaw,yn y pellter,anghyraeddadwy,anhygyrch,pellach,anodd mynd ato,pellenig,cyrhaeddbell,cwmpas,diserch,encilgar,anodd closio ato,ynysig,ar-wahan,maintioli,unig,i ffwrdd,anghyfeillgar,anghroesawgar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
pen,penglog,corun,pennaeth,prif,pwysicaf,diwedd,ymenydd,ymennydd,pennog,blaen,cneuen,meddwl,sgalp,pennaf,wynebyn,prifathro,rheolwr,llywydd,meistr,prifathrawes,top,blaenori,yn benuchel,arwain,arweinydd,yn benysgafn,tarddle,arweinyddes,copa,blaeor,pennyn,uchafbwynt,beiro,ysgrifbin,ysgrifennu,pensil,inc,marciwr,ygrifbin,llifbin,mynegi,llawysgrifen,cyfleu,ysgfrifennu,sillafu,stilws,uwcholeuydd,crefft,ysgrifen,amlygwr,offer,cwilsen,creadigrwydd,papur,llyfr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
pennod,rhan,cyfnod,adran,llyfr,cabidwl,darllen,rhaniad,rhan o lyfr,darn,toriad,segment,cyfnod o oes,testun,rhan o oes,episod,adnod,rhaglen,nofel,pwnc,llenyddiaeth,israniad,dosbarthiad,cyfres,darn o lenyddiaeth,teitl,cyfran,uned,categori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
pennu,dewis,apwyntio,sefydlu,dynodi,penderfynu,gosod,penodi,trefnu,ethol,dyfarnu swydd,clustnodi,nodi,recriwtio,comisiynu,cyflogi,ordeinio,enwebu,enwi,dewis rhywun i,llenwi swydd,pigo,anfonog,neilltuo,categoreiddio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
penodol,union,penodedig,arbennig,neilltuol,pendant,eglur,arbenigol,cymharol,nodedig,clir,sbesiffig,priod,diamwys,enwedig,gwrthrych penodol,teimlad penodol,sicr,priodol,manwl,trachywir,manwl gywir,ardal penodol,rhan penodol,addas,dyfais penodol,unigol,allwedd penodol,cwrs penodol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
personol,preifat,cyfrinachol,unigolyn,cudd,unigryw,penodol,manylion personol,agos,hunain,unigol,cyfarwydd,cyfeiriad personol,goddrychol,arbennig,datganiad personol,cyfrinach,cyfrin,nodedig,onest,cyfarfod personol,hunan,i'r unigolyn,tiwtor personol,anghynhwysol,neges personol,neilltuedig,anrheg personol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
plentyn,mab,merch,ifanc,plentynnaidd,disgynnydd,bychan,plentyndod,crwt,ieuenctid,crwtyn,pobl ieuainc,plant,crotes,personau ieuainc,anaeddfed,babi,genedigaeth,epil,plentyn y fam,hogyn,ieuanc,babanod,magu,person bach,hogen,disgybl,croten,etifedd,bachgen,y fechan,y bychan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
pobl,bodau dynol,gwerin,person,cenedl,cyhoedd,dynes,cymuned,cymdeithas,unigolion,grŵp o bobl,poblogaeth,dynion,pobloedd,bod dynol,dyn,torf,merched,enaidiau,eneidiau,personau,pawb,pobl hen,dynolryw,poblog,trigolion,person (capel),pobl ifanc,y ddynoliaeth,plant,dynoliaeth,grwp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
poen,trafferth,niwsans,poendod,baich,anghyfleuster,strach,byrdwn,anghyfleus,anhwylustod,anghyfleustra,anghylwystod,ffwdan,pla,poenedigaeth,helynt,problem,cur,tarfu,enynfa,anhawster,dirboen,gofid,trwbl,helbul,cythrudd,llidydd,anghyfforddus,dolur,dirboen,anaf,clwyf,trallod,dioddefaint,gofid,gloes,anghysur,ingoedd,ing,anafu,brifo,anhwylder,briw,poenydio,dolurio,artaith,niwed,niweidio,trueni,gwae,cur,anhwyldeb,loes,poenedigaeth,anghyfforddus,dioddefiant,atafaeliad,clais,salwch,ymdrech,ymgais,ymroddiad,straen,gweithgarwch,llafur,ceisio,anhwylustod,cur,trafferth,gwaith,egni,llafurus,bwriad,ansoddair,cynnig,stryffaglu,cais,brwydr,llafurio,pwysau,egnio,defosiwn,cwffio,dycnwch,dyfalbarhad,anhawster,menter,atafael,ymorddiad,,,,,,,0
posib,ymarferol,potensial,dichonadwy,cyraeddadwy,tebygol,credadwy,dichonol,cyfle,siawns,dymunol,gallu,cyrraeddadwy,creadwy,hap,cyflanwnadwy,hyfyw,a all fod,defnyddiol,dirnadwy,gobeithiol,dychmygol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
prif,pennaf,pwysicaf,uchaf,blaenaf,mwyaf,yn ffinio,canolog,prif adeilad,pwysig,hanfodol,prif fynedfa,arweiniol,goruchaf,gorau,blaenllaw,pennaeth,prif egwyddor,penodol,prif ddadl,arbenigol,trechol,sylfaenol,pen,anhepgor,cyntaf,gerllaw,arch,arbennig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
priodas,seremoni,uniad,cariad,defod,undeb,cwlwm,ymrwymiad,uniad ffurfiol,cyplu,seromoni,cytundeb,gwasanaeth,priodas aur,cyfuniad,partneriaid,dathliad,addewid,priodas arian,ffrindiau,cydsoddiad,priodas ddeimwnt,perthynas,teulu,uno,priod,traddodiad,rhwymiad,cynghrair,crefyddol,priodas ddirprwyol,priodas gyfunrywiol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
pryd,achlysur,adeg,digwyddiad,dathliad,cyfnod,amser,pwynt,achos,rheswm,amgylchiad,sawl tro,peri,pwrpas,gwaith,sawl gwaith,diwrnod,dathlu,ar adeg o'r fath,galar,profiad,yr adeg honno,parti,bryd hynny,ennyd,bwyd,cinio,brecwast,swper,bwyta,te,cynhaliaeth,pryd cinio,blawd,pryd bwyd,pryd cyllell a fforc,ymborth,byrbryd,cegin,bwrdd,cytleri,cwrs,maeth,amser te,lluniaeth,golwg,edrychiad,gwedd,ymddangosiad,llun,delwedd,arwedd,wyneb,diwyg,ymddangos,cyflwyniad,eiliw,lliw,ffurf,delw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
prydferth,hardd,del,tlws,pert,prydweddol,golygus,pur,lluniaidd,deniadol,merch prydferth,glwys,dengar,golygfa prydferth,hudolus,blodyn prydferth,ciwt,telaid,cyfrwys,cain,gweddaidd,mirain,swynol,teg,glandeg,perffaith,syfrdanol,ceindeg,trawiadol,deiniadol,glan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
pwll,llyn,twll,dŵr,pydew,ffynnon,pwdel,pwdlac,twll â dŵr ynddo,cronfa ddŵr,afon,pant,corff o ddwr,pwdlo,patsh gwlyb,pwll nofio,llynwen,cronfa,rhwystr,ceubwll,dwr,pwll glo,croniad o ddŵr,casgliad o ddŵr,nofio,twll yn y tir,dwr glaw,hylif,gwlyb,glaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
pwysig,arwyddocaol,awdurdodol,gwerthfawr,dylanwadol,blaenllaw,sylweddol,cofiadwy,mawr,o bwys,newyddion pwysig,hanfodol,llythyr pwysig,cyhoeddiad pwysig,angenrheidiol,amlwg,mater pwysig,rhwysgfawr,terfynol,enfawr,elfen pwysig,enwog,pwysfawr,praff,difrifol,arbennig,strategol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
rasio,gwibio,rhedeg,rhuthro,carlamu,cystadlu,ras,brysio,rasio car,rasio beic,gyrru,rasio ceffylau,rhedeg yn wyllt,mynd yn gyflym,hela,hedfan,cystadleuaeth,cydymgeisio,sgrialu,digwyddiad,rhedfa,trac,ymgeisio,gornest,ennill,cymryd rhan,herio'i gilydd,colli,gwobr,cerdded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
recriwtio,listio,ymrestru,cyflogi,ymaelodi,cofrestru,anfon,newydd,pennu,chwilio,dechreuwr,dewis,newyddian,edrych am,galw,adfilwr,ceisio,talu,perswadio,codi,drafftio,gwirfoddoli,sicrhau gwasanaeth,ymholi,gweithio,hyfforddi,cyflenwi,apwyntio,aelodau newydd,nofydd,penodi,adnewyddu,cynnull,gorfodi,gyrru,dysgwr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
rhaglen,amserlen,rhaglen deledu,cwrs,cynllun,agenda,rhestr,sianel,maes llafur,trefniadau,rhaglen weithio,rhaglen waith,trefniant,darllediad teledu,rhaglen gyfrifiadur,system,polisi,darlleniad,cynlluniau,trefn,cyfres,cwricwlwm,atodlen,strategaeth,taflen,prosbectws,arweinlyfr,rhaglennu,llawlyfr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
rhaid,angen,angenrhaid,gorfodaeth,rhwymedigaeth,gorfod,rheidrwydd,anghenraid,cyfrifoldeb,angenrheidiol,eisiau,dyled,hanfodol,gorfodol,atebolrwydd,galwad,gofynnol,dyletswydd,gwerthfawrogiad,gofyniad,hollbwysig,dylestwydd,cymhelliad,dymuno,gorchymyn,anocheledd,rhwymo,boddio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
rhoi,cyfrannu,cyflwyno,rhoddi,darparu,trosglwyddo,rhodd,gosod,offrymu,anrhegu,gwobrwyo,cynnig,dodi,rhannu,danfon,estyn,talu,dosbarthu,caredigrwydd,gadael,cynhyrchu,aberthu,cyfleu,caniatau,lleoli,sbario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
rhyw,cyfathrach rywiol,cysgu,perthynas,gweithred rywiol,rhywiol,atgenhedlu,caru,cyfathrach rhywiol,cyfathrach,carwr,rhywioldeb,rhywogaeth,undeb,godineb,serch,uniad,atgenhedliad,chwant,cyplu,cysylltiad,atgynhyrchiad,ymgydio,epiliad,angerdd,carennydd,rhwymiad,canlyn,rhyw geneuol,agos,cariad,erotig,atyniad rhywiol,math,rhywogaeth,dosbarth,teip,categori,cenedl,gwrywaidd,benywaidd,dosbarth rhywiol,natur rhywiol,hiliogaeth,gradd,hogyn,rhywioldeb,hogan,llinach rhywiol,natur,menyw,grwp,hwn,brîd,gwryw,hon,cromosom,safon,hynod,hil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
serth,llethrog,syth,cribog,fertigol,unionsyth,diffwysol,llethr,grisiau serth,gogwyddo,clogwynog,tir serth,llafurus,perpendicwlar,gostyngiad serth,bryniog,yn gogwyddo,clogwyn,gallt,llym,uwch,allt serth,esgynnol,eithafol,dyrchafedig,cyfradd serth,graddiant,gormodol,llechweddog,serthochrog,uchel,cribol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
siarad,sgwrsio,llefaru,dweud,cyfathrebu,mynegi,clebran,adrodd,ymddiddan,sgwrs,mwydro,llais,cloncian,traethu,parablu,datgan,swynnwyr,gweiddi,ymgomio,trafod,darlitho,ymadroddi,areithio,ynganu,sibrwd,son,parablus,anerchiad,cyfleu,pregethu,mân siarad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
sicrhau,gwarantu,diogelu,cadarnhau,amddiffyn,dilysu,gofalu,addunedu,gwneud siwr,dilsyu,ymrwymo,gwneud yn siwr,gwirio,gwneud yn sicr,sefydlu,i wneud yn siwr,trefnu,i sefydlu,mechnïo,asiwro,paratoi,gaddo,darparu,i gadarnhau,gwneud yn siŵr,tystio,ymdynghedu,addo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
siŵr,sicr,pendant,cadarn,saff,positif,hyderus,heb os,diamau,clir,i gadarnhau,yn ddiau,diamheuol,anochel,diddadl,penodol,yn sicr,dibetrus,yn bendant,ffyddiog,argyhoeddedig,diogel,amlwg,heb amheuaeth,diamwys,di-ddadl,eglur,di-os,diymwad,di-ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
sych,cras,crimp,sychedig,crin,hysb,sychlyd,dadhydredig,diffaith,diffrwyth,tir sych,dihysbyddu,pridd sych,wedi sychu,toes sych,diflas,noeth,sychu,paent sych,anhydrus,crablyd,caled,brechdan sych,hen,tywydd sych,crebachlyd,llychryd,anial,dysychedig,diflas,digywilydd,undonog,dwl,syml,anniddorol,syrffedus,digellwair,anhwylus,chwerw,digyffro,dihiwmor,sarrug,sychlyd,adroddiadol,plaen,swta,dienaid,annymunol,fflat,anfanwl,anemosiynol,diserch,llwm,anghwrtais,surbwch,dieneiniad,tawel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
syfrdanol,trawiadol,anhygoel,hardd,rhyfeddol,del,ysblennydd,nodedig,gwyrthiol,hyfryd,hynod,pert,aruthrol,prydferth,golygus,hudolus,disglair,arbennig,gwych,cyfrwys,annisgwyl,dengar,campus,tlws,eithriadol,lloriol,anghyffredin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
symud,mynd,mudo,ymfudo,gadael,cychwyn,cerdded,symudiad,adleoli,newid,teithio,cario,syflyd,dringo,ailgartrefu,newid lleoliad,ysgogi,gwthio,mynd o le i le,symud i rhywle,mudiant,rhodio,cynnig,cyffroi,disodli,cynhyrfu,gweithred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
